epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,301.584,1.32629,2.85512,1.38603,0.57957,0.55631,0.52917,0.33698,0.97509,4.00713,1.24318,0.00065641,0.00065641,0.00065641
2,608.526,1.08161,2.39329,1.2202,0.54708,0.72769,0.60704,0.36387,1.08298,5.66367,1.31027,0.00130998,0.00130998,0.00130998
3,882.533,1.11323,2.20714,1.23772,0.44142,0.55767,0.43219,0.28438,1.11992,7.57163,1.29818,0.00195035,0.00195035,0.00195035
4,1158.24,1.07159,2.00849,1.20791,0.50133,0.45969,0.41794,0.25286,1.46025,4.04621,1.76876,0.0019406,0.0019406,0.0019406
5,1432.29,1.04728,1.96071,1.16772,0.67121,0.86431,0.76252,0.51762,0.92731,2.81825,1.1439,0.0019208,0.0019208,0.0019208
6,1705.68,1.04454,1.73572,1.16149,0.61208,0.78426,0.70001,0.47207,0.985,2.65175,1.19093,0.001901,0.001901,0.001901
7,1979.99,0.99648,1.66125,1.1397,0.43171,0.53596,0.44844,0.26938,0.99916,4.15304,1.19891,0.0018812,0.0018812,0.0018812
8,2252.8,1.00145,1.44403,1.09075,0.69882,0.81954,0.76804,0.54423,0.86204,1.91249,1.06739,0.0018614,0.0018614,0.0018614
9,2525.81,0.93406,1.4266,1.12717,0.73005,0.90638,0.772,0.56582,0.83509,1.88198,1.07905,0.0018416,0.0018416,0.0018416
10,2798.42,0.95961,1.45282,1.12143,0.73942,0.90366,0.82779,0.60338,0.80051,1.85387,1.03348,0.0018218,0.0018218,0.0018218
11,3070.62,0.90348,1.26791,1.07876,0.68287,0.69245,0.72719,0.48384,1.22513,2.08618,1.47909,0.001802,0.001802,0.001802
12,3343.03,0.92119,1.26906,1.08329,0.6825,0.83417,0.77823,0.56818,0.80805,1.58121,1.03759,0.0017822,0.0017822,0.0017822
13,3615.98,0.89278,1.16372,1.04961,0.69037,0.87735,0.83004,0.62399,0.81638,1.42126,1.03948,0.0017624,0.0017624,0.0017624
14,3888.43,0.91521,1.10095,1.07548,0.70821,0.90562,0.75425,0.58074,0.80525,1.45782,1.02656,0.0017426,0.0017426,0.0017426
15,4162.31,0.86842,1.07176,1.04677,0.63537,0.63601,0.6161,0.45728,0.89884,2.05955,1.08652,0.0017228,0.0017228,0.0017228
16,4437.96,0.86639,0.99709,1.02776,0.63099,0.73548,0.67023,0.49043,0.86217,1.57469,1.07738,0.001703,0.001703,0.001703
17,4714.31,0.84406,0.98591,1.04623,0.49654,0.57408,0.4917,0.33562,1.11059,2.16827,1.29448,0.0016832,0.0016832,0.0016832
18,4992.28,0.84865,1.03848,1.04204,0.66096,0.61104,0.61184,0.44656,0.93553,2.00297,1.12259,0.0016634,0.0016634,0.0016634
19,5254.8,0.8138,0.97624,1.01354,0.71905,0.88467,0.78135,0.63093,0.7022,1.48088,0.98078,0.0016436,0.0016436,0.0016436
20,5516.79,0.84012,0.96809,1.03123,0.73313,0.91698,0.84961,0.66461,0.73666,1.4962,0.9753,0.0016238,0.0016238,0.0016238
21,5784.75,0.82876,0.98001,1.02282,0.67197,0.76798,0.74682,0.51238,1.02931,1.71539,1.20162,0.001604,0.001604,0.001604
22,6051.49,0.79796,0.92939,1.00787,0.75857,0.94437,0.8683,0.69553,0.68781,1.18862,0.96195,0.0015842,0.0015842,0.0015842
23,6318.06,0.81305,0.88265,1.02178,0.75765,0.92051,0.81491,0.66535,0.66183,1.33247,0.94637,0.0015644,0.0015644,0.0015644
24,6585.12,0.79641,0.92411,1.00206,0.75205,0.9213,0.87506,0.70028,0.67675,1.11849,0.94332,0.0015446,0.0015446,0.0015446
25,6850.96,0.79721,0.89443,1.01512,0.73989,0.93623,0.84824,0.67606,0.70081,1.14035,0.95697,0.0015248,0.0015248,0.0015248
26,7117.53,0.78048,0.85068,0.99448,0.71917,0.86867,0.83979,0.66107,0.73183,1.16543,0.99288,0.001505,0.001505,0.001505
27,7383.84,0.7608,0.85847,0.9892,0.76535,0.981,0.88485,0.72842,0.63274,0.9987,0.91578,0.0014852,0.0014852,0.0014852
28,7650.08,0.73389,0.85454,0.96919,0.75626,0.95985,0.89728,0.73561,0.62322,1.0166,0.92357,0.0014654,0.0014654,0.0014654
29,7917.13,0.7769,0.84109,0.98606,0.73122,0.86746,0.78404,0.64685,0.66736,1.21116,0.94608,0.0014456,0.0014456,0.0014456
30,8183.97,0.73843,0.85811,0.98943,0.75789,0.97286,0.89638,0.73177,0.66042,1.03098,0.93067,0.0014258,0.0014258,0.0014258
31,8450.4,0.77444,0.81777,0.98931,0.73654,0.91588,0.87305,0.70883,0.64086,1.15208,0.941,0.001406,0.001406,0.001406
32,8718.52,0.76512,0.95837,0.98813,0.76073,0.9308,0.87101,0.694,0.70797,1.11662,0.98822,0.0013862,0.0013862,0.0013862
33,8981.38,0.75815,0.81696,0.9845,0.74565,0.97059,0.88981,0.71271,0.6594,1.05399,0.94303,0.0013664,0.0013664,0.0013664
34,9252.39,0.73093,0.83099,0.97009,0.76616,0.95579,0.88726,0.72874,0.65969,1.04341,0.94134,0.0013466,0.0013466,0.0013466
35,9529.36,0.74926,0.79987,0.98546,0.75121,0.97422,0.90167,0.73237,0.60843,0.93336,0.91652,0.0013268,0.0013268,0.0013268
36,9816.77,0.733,0.75919,0.99216,0.75628,0.93758,0.88057,0.72767,0.63512,1.04352,0.93087,0.001307,0.001307,0.001307
37,10100,0.75065,0.75954,0.98924,0.77864,0.9784,0.91367,0.77044,0.62449,1.15951,0.91794,0.0012872,0.0012872,0.0012872
38,10380.8,0.68593,0.73802,0.95894,0.72548,0.90231,0.84897,0.69773,0.62865,1.08191,0.9261,0.0012674,0.0012674,0.0012674
39,10654.5,0.69215,0.7516,0.956,0.7633,0.97422,0.90295,0.75643,0.58295,0.95092,0.91041,0.0012476,0.0012476,0.0012476
40,10943,0.72026,0.7484,0.97577,0.76466,0.97873,0.91393,0.76641,0.61542,1.02669,0.91466,0.0012278,0.0012278,0.0012278
41,11228.2,0.70375,0.72636,0.95418,0.77081,0.99479,0.91513,0.77307,0.61075,0.94416,0.91911,0.001208,0.001208,0.001208
42,11514.3,0.69496,0.7402,0.97823,0.74562,0.93861,0.87712,0.72186,0.5915,0.9548,0.90921,0.0011882,0.0011882,0.0011882
43,11790.9,0.69786,0.72194,0.95895,0.77978,0.97829,0.92305,0.77781,0.58025,0.91068,0.90565,0.0011684,0.0011684,0.0011684
44,12071.9,0.69586,0.81326,0.95284,0.77467,0.97492,0.9074,0.75566,0.62009,0.99059,0.91462,0.0011486,0.0011486,0.0011486
45,12356,0.70956,0.79776,0.97349,0.75045,0.97693,0.89357,0.73624,0.60708,0.93627,0.91468,0.0011288,0.0011288,0.0011288
46,12630.5,0.68967,0.7281,0.96075,0.77366,0.99713,0.92114,0.76489,0.60085,0.96082,0.91213,0.001109,0.001109,0.001109
47,12904.9,0.71925,0.74092,0.98216,0.77433,0.97286,0.92113,0.77254,0.57771,0.88901,0.89916,0.0010892,0.0010892,0.0010892
48,13179.2,0.66628,0.6978,0.94609,0.7776,0.9905,0.92686,0.78751,0.55517,0.8655,0.89271,0.0010694,0.0010694,0.0010694
49,13453,0.67252,0.74611,0.95486,0.78371,0.97838,0.92565,0.78075,0.56722,0.89725,0.89275,0.0010496,0.0010496,0.0010496
50,13731.6,0.65818,0.69872,0.9584,0.77376,0.97965,0.9148,0.75718,0.59074,0.92782,0.9048,0.0010298,0.0010298,0.0010298
51,14008.8,0.66064,0.6843,0.9415,0.77595,0.98507,0.92273,0.7738,0.56864,0.85542,0.89721,0.00101,0.00101,0.00101
52,14287.2,0.66307,0.69677,0.94322,0.78395,0.98961,0.92929,0.79372,0.55514,0.85007,0.88861,0.0009902,0.0009902,0.0009902
53,14559.2,0.63845,0.6766,0.93531,0.7782,0.98372,0.91672,0.78024,0.55966,0.87387,0.88625,0.0009704,0.0009704,0.0009704
54,14825.7,0.64275,0.6681,0.93702,0.78066,0.98915,0.91989,0.78654,0.5586,0.89634,0.8844,0.0009506,0.0009506,0.0009506
55,15088.4,0.68213,0.69302,0.95372,0.78717,0.99322,0.91744,0.7926,0.54818,0.8895,0.88606,0.0009308,0.0009308,0.0009308
56,15352,0.62767,0.6367,0.93217,0.76954,0.9741,0.90975,0.77674,0.57295,0.98418,0.8935,0.000911,0.000911,0.000911
57,15615.4,0.67017,0.66122,0.93785,0.78254,0.98372,0.93154,0.80292,0.54141,0.9078,0.8804,0.0008912,0.0008912,0.0008912
58,15877.9,0.66494,0.69613,0.94998,0.78602,0.9905,0.92729,0.80177,0.55559,0.85773,0.8937,0.0008714,0.0008714,0.0008714
59,16144.3,0.65084,0.64349,0.93004,0.76824,0.98949,0.89786,0.76652,0.56104,1.03744,0.8908,0.0008516,0.0008516,0.0008516
60,16408.6,0.64205,0.68474,0.9302,0.78896,0.99322,0.91319,0.79489,0.54139,0.92071,0.88096,0.0008318,0.0008318,0.0008318
61,16673.7,0.63646,0.65769,0.94717,0.78172,0.99614,0.93226,0.80847,0.52772,0.87321,0.87626,0.000812,0.000812,0.000812
62,16953.2,0.62383,0.66713,0.92276,0.78998,0.99457,0.93151,0.80879,0.54002,0.90166,0.87818,0.0007922,0.0007922,0.0007922
63,17229.9,0.64731,0.6608,0.94094,0.78716,0.98855,0.93183,0.81302,0.51859,0.82761,0.87222,0.0007724,0.0007724,0.0007724
64,17506.7,0.64956,0.62669,0.93269,0.78529,0.96879,0.93369,0.80856,0.5309,0.85688,0.87524,0.0007526,0.0007526,0.0007526
65,17782.3,0.62383,0.6411,0.92915,0.78817,0.98779,0.93913,0.81272,0.54483,0.89066,0.88163,0.0007328,0.0007328,0.0007328
