epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,978.967,0.85084,1.23322,1.03906,0.99985,0.91111,0.98952,0.86077,0.62755,1.8326,0.97949,0.0011684,0.0011684,0.0011684
44,1001.99,1.24376,3.64378,1.21272,0.99985,0.91111,0.98952,0.86077,0.62755,1.8326,0.97949,0.0011486,0.0011486,0.0011486
45,1024.58,0.70888,1.27055,1.02143,0.99985,0.91111,0.98952,0.86077,0.62755,1.8326,0.97949,0.0011288,0.0011288,0.0011288
46,1046.66,0.80381,1.41332,1.02388,0.88569,0.95556,0.97837,0.8287,0.71629,1.96614,0.99368,0.001109,0.001109,0.001109
47,1069.01,0.71418,1.33602,1.04656,0.88569,0.95556,0.97837,0.8287,0.71629,1.96614,0.99368,0.0010892,0.0010892,0.0010892
48,1091.45,0.81743,1.48812,1.07595,0.88569,0.95556,0.97837,0.8287,0.71629,1.96614,0.99368,0.0010694,0.0010694,0.0010694
49,1113.89,0.9196,1.40884,1.14689,0.88569,0.95556,0.97837,0.8287,0.71629,1.96614,0.99368,0.0010496,0.0010496,0.0010496
50,1137.06,0.67758,1.32458,1.038,0.95036,1,0.99215,0.86088,0.64775,1.48871,0.96296,0.0010298,0.0010298,0.0010298
51,1160.18,0.78277,1.3499,1.11277,0.95036,1,0.99215,0.86088,0.64775,1.48871,0.96296,0.00101,0.00101,0.00101
52,1182.88,0.70644,1.66952,1.09791,0.95036,1,0.99215,0.86088,0.64775,1.48871,0.96296,0.0009902,0.0009902,0.0009902
53,1205.49,0.84529,1.47933,1.12892,1,0.99356,0.995,0.86427,0.57271,1.3882,0.91686,0.0009704,0.0009704,0.0009704
54,1228.05,0.72462,1.12232,0.99632,1,0.99356,0.995,0.86427,0.57271,1.3882,0.91686,0.0009506,0.0009506,0.0009506
55,1250.55,0.64868,1.44131,1.00636,1,0.99356,0.995,0.86427,0.57271,1.3882,0.91686,0.0009308,0.0009308,0.0009308
56,1273.1,0.65471,1.26325,1.06067,1,0.99275,0.995,0.85773,0.61948,1.36478,0.93856,0.000911,0.000911,0.000911
57,1296.2,0.79076,1.25981,1.03904,1,0.99275,0.995,0.85773,0.61948,1.36478,0.93856,0.0008912,0.0008912,0.0008912
58,1318.58,0.64009,1.25825,1.00009,1,0.99275,0.995,0.85773,0.61948,1.36478,0.93856,0.0008714,0.0008714,0.0008714
59,1341.05,0.86041,1.45584,1.1317,0.93748,0.99968,0.99115,0.85936,0.54784,1.40913,0.9291,0.0008516,0.0008516,0.0008516
60,1363.47,0.71059,1.12045,0.99097,0.93748,0.99968,0.99115,0.85936,0.54784,1.40913,0.9291,0.0008318,0.0008318,0.0008318
61,1385.92,0.71736,1.17914,1.04921,0.93748,0.99968,0.99115,0.85936,0.54784,1.40913,0.9291,0.000812,0.000812,0.000812
62,1408.45,0.68183,1.38571,1.03893,0.87308,0.93333,0.95312,0.80166,0.55952,1.61032,0.95901,0.0007922,0.0007922,0.0007922
63,1430.65,0.60846,1.35388,1.01779,0.87308,0.93333,0.95312,0.80166,0.55952,1.61032,0.95901,0.0007724,0.0007724,0.0007724
64,1453.55,0.73246,1.13675,1.0145,0.87308,0.93333,0.95312,0.80166,0.55952,1.61032,0.95901,0.0007526,0.0007526,0.0007526
65,1476.07,0.77862,1.30644,1.0427,0.87308,0.93333,0.95312,0.80166,0.55952,1.61032,0.95901,0.0007328,0.0007328,0.0007328
66,1498.61,0.66166,1.02038,1.01005,0.98069,0.97778,0.99375,0.87795,0.53625,1.50668,0.93844,0.000713,0.000713,0.000713
67,1521.07,0.69379,1.75346,1.13526,0.98069,0.97778,0.99375,0.87795,0.53625,1.50668,0.93844,0.0006932,0.0006932,0.0006932
68,1543.82,0.78214,1.27089,1.08231,0.98069,0.97778,0.99375,0.87795,0.53625,1.50668,0.93844,0.0006734,0.0006734,0.0006734
69,1567.06,0.73447,1.2085,1.06244,1,0.99792,0.995,0.9017,0.55976,1.41408,0.92186,0.0006536,0.0006536,0.0006536
70,1589.56,0.79318,1.31499,1.01656,1,0.99792,0.995,0.9017,0.55976,1.41408,0.92186,0.0006338,0.0006338,0.0006338
71,1611.67,0.64273,1.21538,0.97387,1,0.99792,0.995,0.9017,0.55976,1.41408,0.92186,0.000614,0.000614,0.000614
72,1634.52,0.62863,1.06891,0.98297,1,0.99943,0.995,0.88272,0.53129,1.24421,0.92829,0.0005942,0.0005942,0.0005942
73,1657.01,0.66617,1.07272,1.00857,1,0.99943,0.995,0.88272,0.53129,1.24421,0.92829,0.0005744,0.0005744,0.0005744
74,1679.27,0.69795,1.07341,0.93347,1,0.99943,0.995,0.88272,0.53129,1.24421,0.92829,0.0005546,0.0005546,0.0005546
75,1701.68,0.73742,1.03762,0.98365,1,0.99025,0.995,0.86938,0.50378,1.15494,0.93798,0.0005348,0.0005348,0.0005348
76,1724.13,0.59652,1.36866,1.01665,1,0.99025,0.995,0.86938,0.50378,1.15494,0.93798,0.000515,0.000515,0.000515
77,1747.39,0.55954,0.98499,0.91462,1,0.99025,0.995,0.86938,0.50378,1.15494,0.93798,0.0004952,0.0004952,0.0004952
78,1769.95,0.5568,1.0362,0.94623,0.99947,1,0.995,0.87248,0.43352,1.06832,0.90361,0.0004754,0.0004754,0.0004754
79,1792.91,0.57872,1.13598,0.95152,0.99947,1,0.995,0.87248,0.43352,1.06832,0.90361,0.0004556,0.0004556,0.0004556
80,1815.16,0.70377,0.99369,1.02544,0.99947,1,0.995,0.87248,0.43352,1.06832,0.90361,0.0004358,0.0004358,0.0004358
81,1837.59,0.71845,1.16584,1.10285,0.99947,1,0.995,0.87248,0.43352,1.06832,0.90361,0.000416,0.000416,0.000416
82,1860.46,0.65183,0.96534,0.98639,0.99829,1,0.995,0.87639,0.40804,1.04356,0.87746,0.0003962,0.0003962,0.0003962
83,1882.85,0.62702,0.92924,0.96206,0.99829,1,0.995,0.87639,0.40804,1.04356,0.87746,0.0003764,0.0003764,0.0003764
84,1905.15,0.64385,1.13224,1.11771,0.99829,1,0.995,0.87639,0.40804,1.04356,0.87746,0.0003566,0.0003566,0.0003566
85,1927.25,0.66799,1.13034,1.03344,0.99841,1,0.995,0.88748,0.4092,1.05255,0.87662,0.0003368,0.0003368,0.0003368
86,1949.46,0.67127,0.93106,0.94716,0.99841,1,0.995,0.88748,0.4092,1.05255,0.87662,0.000317,0.000317,0.000317
87,1971.94,0.67286,1.11742,1.0376,0.99841,1,0.995,0.88748,0.4092,1.05255,0.87662,0.0002972,0.0002972,0.0002972
88,1995.07,0.70138,1.10187,1.00936,0.99837,1,0.995,0.89856,0.39412,1.0578,0.87221,0.0002774,0.0002774,0.0002774
89,2017.6,0.51831,1.08276,0.99774,0.99837,1,0.995,0.89856,0.39412,1.0578,0.87221,0.0002576,0.0002576,0.0002576
